x,y,z,x_quat,y_quat,z_quat,w_quat,target_velocity
89633.432095,43127.583127,0,0,0,0.890873539370615,0.454251402693788,12
89633.252191,43127.556414,0,0,0,0.887678675528812,0.460463428527623,12
89634.000775,43128.998967,0,0,0,0.886575841355123,0.462583265505203,12
89634.000773,43128.998969,0,0,0,0.886617734815758,0.462502964650145,12
89633.934739,43129.0865,0,0,0,0.886022717946053,0.463641826503486,12
89633.608,43129.498408,0,0,0,0.885840474432586,0.463989928615968,12
89633.228365,43129.926706,0,0,0,0.884065474074655,0.467363068234061,12
89632.800041,43130.278162,0,0,0,0.881733897554199,0.471747107997369,12
89632.448489,43130.483467,0,0,0,0.874732935399425,0.484605294778652,12
89632.140746,43130.661468,0,0,0,0.852035263186978,0.523484393545688,12
89631.583144,43130.94025,0,0,0,0.798824914890966,0.601563592107635,12
89630.779145,43131.338912,0,0,0,0.70285399554554,0.711334141557728,12
89629.794572,43131.843847,0,0,0,0.568884395238338,0.822417500333201,12
89628.810104,43132.377269,0,0,0,0.332024351633184,0.943270814730618,12
89627.846112,43133.012882,0,0,0,0.0957611796389798,0.995404338183309,12
89627.009719,43133.782028,0,0,0,-0.171465985808617,0.985190040403718,12
89626.105627,43134.617147,0,0,0,-0.372298136465108,0.928113192226362,12
89625.35736,43135.425786,0,0,0,-0.433471614616333,0.901167220510105,12
89624.694622,43136.313528,0,0,0,-0.507720281680077,0.861521976255222,12
89624.209345,43137.261038,0,0,0,-0.535708698832053,0.84440286001154,10.271
89623.750006,43138.233881,0,0,0,-0.557544101049664,0.830147321494638,10.271
89623.333332,43139.398238,0,0,0,-0.569086621168504,0.822277579414042,10.271
89622.801236,43140.627184,0,0,0,-0.477121357666065,0.878837419582764,10.271
89622.270941,43141.984557,0,0,0,-0.551099706575186,0.834439400683323,10.271
89621.544245,43143.506741,0,0,0,-0.518682829385151,0.854966737657679,10.271
89620.885882,43144.990257,0,0,0,-0.493340113719288,0.869836497392148,10.271
89620.365022,43146.087641,0,0,0,-0.352613983997767,0.935768870121903,10.271
89619.977454,43146.828155,0,0,0,-0.232369784246591,0.972627515223167,10.271
89619.942118,43146.881974,0,0,0,-0.0544057429275846,0.998518910755574,10.271
89619.942118,43146.881974,0,0,0,0.160678037791352,0.987006873416554,12
89619.942118,43146.881974,0,0,0,0.343524068701276,0.939143873015695,12
89619.322422,43147.871905,0,0,0,0.554015930697027,0.832506065163436,12
