x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89665.471812,43124.502392,6.381257,0,0,-0.868327,0.495991,1.5
89666.149897,43125.121978,6.381268,0,0,-0.868327,0.495991,1.5
89666.302137,43125.248988,6.381248,0,0,-0.868327,0.495991,1.5
89665.733895,43124.175016,6.380268,0,0,-0.868327,0.495991,1.5
89665.211176,43123.885008,6.381003,0,0,-0.868327,0.495991,1.5
89664.737648,43123.616812,6.380801,0,0,-0.868327,0.495991,1.5
89663.696039,43123.051007,6.379883,0,0,-0.965771,0.259397,1.5
89662.344991,43122.283043,6.371196,0,0,-0.965771,0.259397,1.5
89660.543071,43121.180336,6.358906,0,0,-0.958761,0.284215,1.5
89658.651372,43119.723113,6.349481,0,0,-0.970512,0.241052,1.5
89656.421032,43118.134384,6.322254,0,0,0.995388,0.095934,2
89653.972152,43116.958394,6.305449,0,0,0.995388,0.095934,11
89651.405369,43117.075824,6.308472,0,0,0.98688,0.161457,11
89649.120552,43117.740489,6.326064,0,0,0.98688,0.161457,11
89646.760301,43118.548844,6.316328,0,0,0.98688,0.161457,11
89643.558967,43119.508067,6.30066,0,0,0.982839,0.184466,11
89640.602362,43120.526133,6.288904,0,0,0.982839,0.184466,11
89637.462641,43121.821639,6.268832,0,0,0.9622,0.272343,11
89634.538502,43123.490137,6.247864,0,0,0.9622,0.272343,11
89632.489458,43125.966807,6.226961,0,0,0.922506,0.385984,11
89630.385586,43128.635284,6.217472,0,0,0.880755,0.473572,9.27
89628.581077,43131.222167,6.223141,0,0,0.880755,0.473572,9.27
89626.954773,43133.966564,6.22901,0,0,0.880755,0.473572,9.27
89624.482055,43137.350506,6.226624,0,0,0.880755,0.473572,9.27
89621.447874,43141.508658,6.225258,0,0,0.880755,0.473572,9.27
89618.21446,43146.059053,6.226094,0,0,0.887679,0.460463,9.27
89615.096803,43150.452194,6.23422,0,0,0.88584,0.46399,9.27
89612.449168,43154.612406,6.23445,0,0,0.881734,0.471747,9.27
89611.072795,43159.192156,6.251006,0,0,0.881734,0.471747,9.27
89611.990666,43163.361371,6.298005,0,0,0.852035,0.523484,9.27
89615.170143,43166.132697,6.334942,0,0,0.852035,0.523484,9.27
89618.982633,43166.901241,6.338187,0,0,0.702854,0.711334,9.27
89622.253716,43165.649601,6.328963,0,0,0.702854,0.711334,11
89624.27928,43163.243295,6.348832,0,0,0.332024,0.943271,11
89625.304869,43160.568577,6.353348,0,0,-0.171466,0.98519,11
89626.396109,43158.072806,6.35067,0,0,-0.171466,0.98519,11
89627.498208,43155.531366,6.345784,0,0,-0.171466,0.98519,11
89628.818292,43152.758872,6.337485,0,0,-0.171466,0.98519,11
89630.491937,43149.620785,6.32813,0,0,-0.50772,0.861522,11
89632.408779,43146.104205,6.319278,0,0,-0.477121,0.878837,11
89634.436078,43142.261795,6.304966,0,0,-0.477121,0.878837,11
89636.294467,43138.54902,6.299793,0,0,-0.477121,0.878837,11
89638.548977,43135.345205,6.297442,0,0,-0.477121,0.878837,11
89642.253267,43135.43285,6.303371,0,0,-0.477121,0.878837,11
89645.343383,43137.321185,6.310165,0,0,-0.352614,0.935769,9.27
89646.714877,43140.231428,6.32351,0,0,-0.054406,0.998519,9.27
89646.805675,43143.039225,6.338464,0,0,0.343524,0.939144,9.27
89645.636755,43145.357913,6.347989,0,0,0.554016,0.832506,9.27
89644.308191,43147.194331,6.352838,0,0,0.554016,0.832506,9.27
89642.857575,43149.282749,6.359431,0,0,0.855279,0.518168,9.27
89641.130803,43152.337173,6.363736,0,0,0.882001,0.471247,9.27
89639.287497,43156.353345,6.372058,0,0,0.931912,0.362684,11
89637.347908,43159.942083,6.447196,0,0,0.931912,0.362684,11
89635.321053,43162.847937,6.520986,0,0,0.931912,0.362684,11
89633.21263,43165.30223,6.558813,0,0,0.931912,0.362684,11
89631.159866,43167.723239,6.596718,0,0,0.931912,0.362684,11
89629.165094,43170.027175,6.619003,0,0,0.909045,0.416698,11
89626.716114,43172.848486,6.631003,0,0,0.906128,0.423003,11
89623.860688,43175.103269,6.627219,0,0,0.910751,0.412956,11
89621.520438,43177.369033,6.607448,0,0,0.910751,0.412956,11
89621.189661,43180.620684,6.612485,0,0,0.926643,0.375943,11
89621.157009,43183.586776,6.623201,0,0,0.845594,0.533826,11
89622.728502,43185.89205,6.653586,0,0,0.845594,0.533826,11
89624.572901,43187.3196,6.701852,0,0,0.845594,0.533826,11
89626.445034,43188.424254,6.742873,0,0,0.563098,0.82639,11
89628.254508,43188.956256,6.769502,0,0,0.563098,0.82639,11
89629.85411,43188.745632,6.783099,0,0,0.563098,0.82639,11
89631.247975,43188.088649,6.793993,0,0,0.328683,0.94444,11
89632.258675,43187.129822,6.807055,0,0,0.328683,0.94444,11
89633.78243,43185.582666,6.822658,0,0,0.129383,0.991595,11
89635.641323,43184.03525,6.865883,0,0,-0.073857,0.997269,9.27
89637.428446,43182.962902,6.919827,0,0,-0.073857,0.997269,9.27
89639.218417,43182.264198,6.960525,0,0,-0.257591,0.966254,9.27
89640.840228,43181.919089,7.00412,0,0,-0.257591,0.966254,9.27
89642.345202,43181.779785,7.039125,0,0,-0.257591,0.966254,9.27
89643.646328,43181.804962,7.07362,0,0,-0.307613,0.951512,9.27
89644.799315,43181.931518,7.101507,0,0,-0.307613,0.951512,9.27
89646.173829,43182.144092,7.120953,0,0,-0.307613,0.951512,9.27
89647.521295,43182.434769,7.13537,0,0,-0.307613,0.951512,9.27
89648.684591,43182.796676,7.136753,0,0,-0.163097,0.98661,9.27
89649.821586,43183.243863,7.137461,0,0,-0.163097,0.98661,9.27
89650.949185,43183.783793,7.132953,0,0,-0.163097,0.98661,9.27
89652.886815,43184.689175,7.12,0,0,-0.010237,0.999948,9.27
89655.826546,43186.108969,7.089866,0,0,0.178075,0.984017,9.27
89659.070842,43187.081417,6.971985,0,0,0.241111,0.970498,9.27
89662.309225,43185.816401,6.861383,0,0,0.241111,0.970498,9.27
89663.371384,43182.40872,6.823816,0,0,0.056364,0.99841,9.27
89662.957934,43179.039571,6.819053,0,0,0.056364,0.99841,9.27
89661.695697,43176.330393,6.777534,0,0,0.056364,0.99841,9.27
89659.268313,43174.872666,6.74823,0,0,-0.61422,0.789135,9.27
89656.832045,43174.104439,6.760976,0,0,-0.72301,0.690837,9.27
89654.665718,43173.598355,6.813002,0,0,-0.883558,0.468321,9.27
89652.730913,43173.108367,6.863884,0,0,-0.883558,0.468321,9.27
89650.582387,43172.507947,6.92977,0,0,-0.997254,0.074058,9.27
89648.778709,43171.888059,6.989044,0,0,-0.997254,0.074058,9.27
89647.337348,43171.020841,7.021994,0,0,-0.997254,0.074058,9.27
89646.443417,43169.631468,7.023558,0,0,-0.997254,0.074058,9.27
89645.950922,43167.800324,6.973925,0,0,-0.98346,0.181125,9.27
89645.717374,43165.546738,6.879438,0,0,-0.947133,0.320841,9.27
89646.635616,43163.279255,6.760195,0,0,-0.835952,0.548803,9.27
89648.875321,43161.625197,6.654151,0,0,-0.835952,0.548803,9.27
89651.712432,43160.431249,6.539,0,0,-0.835952,0.548803,9.27
89654.511759,43159.308848,6.468418,0,0,-0.835952,0.548803,9.27
