x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89665.844801,43124.130885,6.381378,0,0,-0.868327,0.495991,1.5
89666.664064,43123.382168,6.381255,0,0,-0.868327,0.495991,1.5
89666.315894,43123.619476,6.381268,0,0,-0.868327,0.495991,1.5
89665.919821,43124.078404,6.381313,0,0,-0.868327,0.495991,1.5
89666.031089,43124.568061,6.381303,0,0,-0.868327,0.495991,1.5
89666.128526,43124.785688,6.381258,0,0,-0.868327,0.495991,1.5
89666.099845,43124.966192,6.381264,0,0,-0.868327,0.495991,1.5
89666.128762,43125.046019,6.381182,0,0,-0.868327,0.495991,1.5
89666.15407,43125.062603,6.381209,0,0,-0.868327,0.495991,1.5
89666.145014,43125.103153,6.381233,0,0,-0.868327,0.495991,1.5
89666.187187,43125.156166,6.381251,0,0,-0.868327,0.495991,1.5
89665.951022,43124.295055,6.377446,0,0,-0.868327,0.495991,1.5
89665.845769,43124.236916,6.379569,0,0,-0.868327,0.495991,1.5
89665.728079,43124.171988,6.380362,0,0,-0.868327,0.495991,1.5
89665.58545,43124.093768,6.380829,0,0,-0.868327,0.495991,1.5
89665.432823,43124.009788,6.381089,0,0,-0.868327,0.495991,1.5
89665.291446,43123.931446,6.381167,0,0,-0.868327,0.495991,1.5
89665.152415,43123.853607,6.381088,0,0,-0.868327,0.495991,1.5
89665.013573,43123.775188,6.381013,0,0,-0.965771,0.259397,1.5
89664.885334,43123.7041,6.380843,0,0,-0.965771,0.259397,1.5
89664.68967,43123.594232,6.380784,0,0,-0.965771,0.259397,1.5
89664.444041,43123.459629,6.380798,0,0,-0.965771,0.259397,1.5
89664.212926,43123.331032,6.380743,0,0,-0.965771,0.259397,1.5
89663.957284,43123.190573,6.380176,0,0,-0.965771,0.259397,1.5
89663.709661,43123.042231,6.379423,0,0,-0.965771,0.259397,1.5
89663.486256,43122.928748,6.37858,0,0,-0.965771,0.259397,1.5
89663.219765,43122.796385,6.377391,0,0,-0.965771,0.259397,1.5
89662.996336,43122.684868,6.375378,0,0,-0.965771,0.259397,1.5
89662.662504,43122.478119,6.373364,0,0,-0.965771,0.259397,1.5
89662.319896,43122.258662,6.370121,0,0,-0.965771,0.259397,1.5
89661.919289,43122.016042,6.36694,0,0,-0.958761,0.284215,1.5
89661.57433,43121.777855,6.363,0,0,-0.958761,0.284215,1.5
89661.174874,43121.52181,6.361051,0,0,-0.958761,0.284215,1.5
89660.807472,43121.24293,6.359647,0,0,-0.958761,0.284215,1.5
89660.440798,43121.026819,6.358386,0,0,-0.958761,0.284215,1.5
89660.081351,43120.777018,6.358097,0,0,-0.958761,0.284215,1.5
89659.701681,43120.523861,6.357469,0,0,-0.958761,0.284215,1.5
89659.349019,43120.232469,6.355896,0,0,-0.958761,0.284215,1.5
89658.892513,43119.922846,6.3525,0,0,-0.970512,0.241052,1.5
89658.470334,43119.64728,6.342299,0,0,-0.970512,0.241052,1.5
89658.026245,43119.344843,6.336727,0,0,-0.970512,0.241052,1.5
89657.59902,43119.044216,6.329748,0,0,-0.970512,0.241052,1.5
89657.140469,43118.685748,6.326189,0,0,-0.970512,0.241052,1.5
89656.706547,43118.393254,6.321677,0,0,-0.970512,0.241052,1.5
89656.265913,43118.03627,6.319586,0,0,-0.970512,0.241052,1.5
89655.804012,43117.709271,6.317765,0,0,0.995388,0.095934,1.5
89655.321636,43117.438696,6.314419,0,0,0.995388,0.095934,1.5
89654.849998,43117.25205,6.309037,0,0,0.995388,0.095934,1.5
89654.40559,43117.01623,6.305411,0,0,0.995388,0.095934,1.5
89653.90685,43116.871891,6.304167,0,0,0.995388,0.095934,1.5
89653.407332,43116.78156,6.303458,0,0,0.995388,0.095934,1.5
89652.924418,43116.821465,6.303043,0,0,0.995388,0.095934,1.5
89652.428878,43116.905721,6.303532,0,0,0.995388,0.095934,1.5
89651.966296,43117.055686,6.306993,0,0,0.98688,0.161457,1.5
89651.524785,43117.139049,6.309009,0,0,0.98688,0.161457,2
89651.080507,43117.242015,6.311215,0,0,0.98688,0.161457,2
89650.595777,43117.347019,6.313888,0,0,0.98688,0.161457,2
89650.076419,43117.509275,6.319432,0,0,0.98688,0.161457,2
89649.546529,43117.597361,6.324134,0,0,0.98688,0.161457,11
89649.078306,43117.747088,6.327379,0,0,0.98688,0.161457,11
89648.567936,43117.865433,6.326157,0,0,0.982839,0.184466,11
89648.119362,43118.074044,6.322443,0,0,0.982839,0.184466,11
89647.613994,43118.300216,6.319368,0,0,0.982839,0.184466,11
89647.086026,43118.522355,6.316125,0,0,0.982839,0.184466,11
89646.466333,43118.739643,6.314242,0,0,0.982839,0.184466,11
89645.800448,43118.966717,6.312403,0,0,0.982839,0.184466,11
89645.134395,43119.269768,6.307975,0,0,0.982839,0.184466,11
89644.374641,43119.535897,6.30398,0,0,0.982839,0.184466,11
89643.648939,43119.768264,6.297699,0,0,0.982839,0.184466,11
89642.888636,43120.054556,6.294059,0,0,0.980115,0.198432,11
89642.110844,43120.288218,6.291783,0,0,0.980115,0.198432,11
89641.335099,43120.459912,6.290763,0,0,0.980115,0.198432,11
89640.510239,43120.730914,6.290226,0,0,0.980115,0.198432,11
89639.741279,43120.98465,6.28242,0,0,0.9622,0.272343,11
89639.03799,43121.244104,6.274127,0,0,0.9622,0.272343,11
89638.301688,43121.530196,6.272564,0,0,0.9622,0.272343,11
89637.623779,43121.841778,6.268847,0,0,0.9622,0.272343,11
89636.942286,43122.234451,6.264486,0,0,0.965606,0.260011,11
89636.26509,43122.631542,6.259567,0,0,0.965606,0.260011,11
89635.660006,43122.99836,6.251483,0,0,0.965606,0.260011,11
89635.028556,43123.404461,6.248452,0,0,0.922506,0.385984,11
89634.487821,43123.846431,6.246096,0,0,0.922506,0.385984,11
89633.907168,43124.265567,6.243889,0,0,0.922506,0.385984,11
89633.404735,43124.701515,6.239065,0,0,0.922506,0.385984,11
89632.879667,43125.217924,6.234269,0,0,0.880755,0.473572,11
89632.346181,43125.699181,6.228534,0,0,0.880755,0.473572,11
89631.885661,43126.278314,6.22225,0,0,0.880755,0.473572,11
89631.481523,43126.782954,6.213756,0,0,0.880755,0.473572,11
89631.09385,43127.270551,6.214066,0,0,0.880755,0.473572,11
89630.665308,43127.793619,6.215571,0,0,0.880755,0.473572,11
89630.259246,43128.345256,6.217035,0,0,0.880755,0.473572,11
89629.947403,43128.890822,6.21904,0,0,0.880755,0.473572,11
89629.61514,43129.462384,6.220012,0,0,0.880755,0.473572,11
89629.266775,43130.012914,6.220973,0,0,0.880755,0.473572,11
89628.939033,43130.538717,6.222591,0,0,0.880755,0.473572,11
89628.580457,43131.145762,6.22377,0,0,0.887679,0.460463,11
89628.125493,43131.831828,6.226258,0,0,0.887679,0.460463,11
89627.775368,43132.447614,6.227924,0,0,0.887679,0.460463,11
